StateFIPS,State,Year,Value
1,Alabama,2004,2346
1,Alabama,2005,3282
1,Alabama,2006,3443
1,Alabama,2007,3436
1,Alabama,2008,3424
1,Alabama,2009,3375
1,Alabama,2010,3636
1,Alabama,2011,3652
1,Alabama,2012,3605
1,Alabama,2013,3480
1,Alabama,2014,3635
1,Alabama,2015,3644
1,Alabama,2016,3778
1,Alabama,2017,3999
1,Alabama,2018,3647
1,Alabama,2019,3724
1,Alabama,2020,3677
2,Alaska,2004,1390
2,Alaska,2005,1997
2,Alaska,2006,1851
2,Alaska,2007,1922
2,Alaska,2008,1848
2,Alaska,2009,2116
2,Alaska,2010,2100
2,Alaska,2011,2175
2,Alaska,2012,2054
2,Alaska,2013,2142
2,Alaska,2014,2229
2,Alaska,2015,2615
2,Alaska,2016,2596
2,Alaska,2017,2368
2,Alaska,2018,2439
2,Alaska,2019,2555
2,Alaska,2020,2491
4,Arizona,2004,2795
4,Arizona,2005,3850
4,Arizona,2006,3859
4,Arizona,2007,3877
4,Arizona,2008,3943
4,Arizona,2009,3963
4,Arizona,2010,3975
4,Arizona,2011,4072
4,Arizona,2012,4072
4,Arizona,2013,4049
4,Arizona,2014,4058
4,Arizona,2015,4014
4,Arizona,2016,4253
4,Arizona,2017,4252
4,Arizona,2018,4132
4,Arizona,2019,4138
4,Arizona,2020,4268
5,Arkansas,2004,2125
5,Arkansas,2005,3239
5,Arkansas,2006,3242
5,Arkansas,2007,3190
5,Arkansas,2008,3180
5,Arkansas,2009,3200
5,Arkansas,2010,3419
5,Arkansas,2011,3429
5,Arkansas,2012,3540
5,Arkansas,2013,3381
5,Arkansas,2014,3384
5,Arkansas,2015,3558
5,Arkansas,2016,3790
5,Arkansas,2017,4090
5,Arkansas,2018,4448
5,Arkansas,2019,3564
5,Arkansas,2020,4129
6,California,2004,2357
6,California,2005,3462
6,California,2006,3487
6,California,2007,3655
6,California,2008,3634
6,California,2009,3634
6,California,2010,3539
6,California,2011,3659
6,California,2012,3710
6,California,2013,3795
6,California,2014,3759
6,California,2015,3979
6,California,2016,4582
6,California,2017,4220
6,California,2018,4147
6,California,2019,4246
6,California,2020,4251
8,Colorado,2004,2640
8,Colorado,2005,3764
8,Colorado,2006,3781
8,Colorado,2007,3710
8,Colorado,2008,3783
8,Colorado,2009,3784
8,Colorado,2010,3819
8,Colorado,2011,3840
8,Colorado,2012,3921
8,Colorado,2013,3808
8,Colorado,2014,3852
8,Colorado,2015,4003
8,Colorado,2016,4494
8,Colorado,2017,4377
8,Colorado,2018,4104
8,Colorado,2019,4329
8,Colorado,2020,4193
9,Connecticut,2004,1908
9,Connecticut,2005,2615
9,Connecticut,2006,2602
9,Connecticut,2007,2738
9,Connecticut,2008,2684
9,Connecticut,2009,2675
9,Connecticut,2010,2826
9,Connecticut,2011,2849
9,Connecticut,2012,2904
9,Connecticut,2013,2824
9,Connecticut,2014,2831
9,Connecticut,2015,3035
9,Connecticut,2016,3742
9,Connecticut,2017,2970
9,Connecticut,2018,3112
9,Connecticut,2019,3145
9,Connecticut,2020,3098
10,Delaware,2004,2028
10,Delaware,2005,2791
10,Delaware,2006,2913
10,Delaware,2007,2970
10,Delaware,2008,2914
10,Delaware,2009,2841
10,Delaware,2010,2993
10,Delaware,2011,3049
10,Delaware,2012,3060
10,Delaware,2013,3004
10,Delaware,2014,2994
10,Delaware,2015,3768
10,Delaware,2016,4096
10,Delaware,2017,5962
10,Delaware,2018,4054
10,Delaware,2019,3573
10,Delaware,2020,3439
11,District of Columbia,2004,2083
11,District of Columbia,2005,2815
11,District of Columbia,2006,2870
11,District of Columbia,2007,2934
11,District of Columbia,2008,2907
11,District of Columbia,2009,2847
11,District of Columbia,2010,3003
11,District of Columbia,2011,2973
11,District of Columbia,2012,3112
11,District of Columbia,2013,2993
11,District of Columbia,2014,3031
11,District of Columbia,2015,3364
11,District of Columbia,2016,4752
11,District of Columbia,2017,3999
11,District of Columbia,2018,4335
11,District of Columbia,2019,4039
11,District of Columbia,2020,3543
12,Florida,2004,2870
12,Florida,2005,3617
12,Florida,2006,3782
12,Florida,2007,3704
12,Florida,2008,3716
12,Florida,2009,3801
12,Florida,2010,3950
12,Florida,2011,4008
12,Florida,2012,3885
12,Florida,2013,3826
12,Florida,2014,3852
12,Florida,2015,3889
12,Florida,2016,4019
12,Florida,2017,4003
12,Florida,2018,3936
12,Florida,2019,4019
12,Florida,2020,4005
13,Georgia,2004,2453
13,Georgia,2005,3318
13,Georgia,2006,3450
13,Georgia,2007,3456
13,Georgia,2008,3463
13,Georgia,2009,3424
13,Georgia,2010,3653
13,Georgia,2011,3731
13,Georgia,2012,3605
13,Georgia,2013,3527
13,Georgia,2014,3634
13,Georgia,2015,3588
13,Georgia,2016,3971
13,Georgia,2017,3853
13,Georgia,2018,3686
13,Georgia,2019,3805
13,Georgia,2020,3717
15,Hawaii,2004,3731
15,Hawaii,2005,4536
15,Hawaii,2006,4335
15,Hawaii,2007,4473
15,Hawaii,2008,4460
15,Hawaii,2009,4503
15,Hawaii,2010,4617
15,Hawaii,2011,4465
15,Hawaii,2012,4558
15,Hawaii,2013,4562
15,Hawaii,2014,4510
15,Hawaii,2015,4568
15,Hawaii,2016,4618
15,Hawaii,2017,4598
15,Hawaii,2018,4349
15,Hawaii,2019,4628
15,Hawaii,2020,4593
16,Idaho,2004,2136
16,Idaho,2005,3036
16,Idaho,2006,3066
16,Idaho,2007,3172
16,Idaho,2008,2995
16,Idaho,2009,3118
16,Idaho,2010,3076
16,Idaho,2011,3145
16,Idaho,2012,3274
16,Idaho,2013,3236
16,Idaho,2014,3291
16,Idaho,2015,3463
16,Idaho,2016,3504
16,Idaho,2017,3473
16,Idaho,2018,3398
16,Idaho,2019,3258
16,Idaho,2020,3429
17,Illinois,2004,1858
17,Illinois,2005,2871
17,Illinois,2006,2790
17,Illinois,2007,2893
17,Illinois,2008,2801
17,Illinois,2009,2889
17,Illinois,2010,3058
17,Illinois,2011,2991
17,Illinois,2012,3188
17,Illinois,2013,2970
17,Illinois,2014,2988
17,Illinois,2015,3228
17,Illinois,2016,3835
17,Illinois,2017,3610
17,Illinois,2018,3617
17,Illinois,2019,3712
17,Illinois,2020,3636
18,Indiana,2004,1877
18,Indiana,2005,2768
18,Indiana,2006,2744
18,Indiana,2007,2826
18,Indiana,2008,2771
18,Indiana,2009,2851
18,Indiana,2010,3000
18,Indiana,2011,2942
18,Indiana,2012,3150
18,Indiana,2013,2958
18,Indiana,2014,2978
18,Indiana,2015,3331
18,Indiana,2016,3742
18,Indiana,2017,4332
18,Indiana,2018,4231
18,Indiana,2019,3654
18,Indiana,2020,3549
19,Iowa,2004,1852
19,Iowa,2005,2830
19,Iowa,2006,2752
19,Iowa,2007,2755
19,Iowa,2008,2690
19,Iowa,2009,2852
19,Iowa,2010,2863
19,Iowa,2011,2900
19,Iowa,2012,3144
19,Iowa,2013,2893
19,Iowa,2014,2867
19,Iowa,2015,3301
19,Iowa,2016,3391
19,Iowa,2017,3546
19,Iowa,2018,3204
19,Iowa,2019,3042
19,Iowa,2020,3144
20,Kansas,2004,2114
20,Kansas,2005,3196
20,Kansas,2006,3253
20,Kansas,2007,3121
20,Kansas,2008,3172
20,Kansas,2009,3240
20,Kansas,2010,3308
20,Kansas,2011,3375
20,Kansas,2012,3490
20,Kansas,2013,3298
20,Kansas,2014,3387
20,Kansas,2015,3493
20,Kansas,2016,4247
20,Kansas,2017,4289
20,Kansas,2018,3806
20,Kansas,2019,3825
20,Kansas,2020,3929
21,Kentucky,2004,2003
21,Kentucky,2005,2877
21,Kentucky,2006,2877
21,Kentucky,2007,3018
21,Kentucky,2008,2904
21,Kentucky,2009,2954
21,Kentucky,2010,3148
21,Kentucky,2011,3080
21,Kentucky,2012,3235
21,Kentucky,2013,3087
21,Kentucky,2014,3184
21,Kentucky,2015,3367
21,Kentucky,2016,4325
21,Kentucky,2017,4517
21,Kentucky,2018,4042
21,Kentucky,2019,4072
21,Kentucky,2020,3895
22,Louisiana,2004,2471
22,Louisiana,2005,3521
22,Louisiana,2006,3537
22,Louisiana,2007,3444
22,Louisiana,2008,3522
22,Louisiana,2009,3580
22,Louisiana,2010,3744
22,Louisiana,2011,3855
22,Louisiana,2012,3738
22,Louisiana,2013,3692
22,Louisiana,2014,3678
22,Louisiana,2015,3659
22,Louisiana,2016,3740
22,Louisiana,2017,3729
22,Louisiana,2018,3738
22,Louisiana,2019,3765
22,Louisiana,2020,3799
23,Maine,2004,1810
23,Maine,2005,2428
23,Maine,2006,2476
23,Maine,2007,2510
23,Maine,2008,2488
23,Maine,2009,2537
23,Maine,2010,2673
23,Maine,2011,2690
23,Maine,2012,2752
23,Maine,2013,2686
23,Maine,2014,2710
23,Maine,2015,3213
23,Maine,2016,2902
23,Maine,2017,2843
23,Maine,2018,2861
23,Maine,2019,2799
23,Maine,2020,2959
24,Maryland,2004,2058
24,Maryland,2005,2811
24,Maryland,2006,2908
24,Maryland,2007,2954
24,Maryland,2008,2932
24,Maryland,2009,2877
24,Maryland,2010,3032
24,Maryland,2011,3030
24,Maryland,2012,3106
24,Maryland,2013,3030
24,Maryland,2014,3037
24,Maryland,2015,3462
24,Maryland,2016,4368
24,Maryland,2017,4319
24,Maryland,2018,4111
24,Maryland,2019,3849
24,Maryland,2020,3572
25,Massachusetts,2004,1830
25,Massachusetts,2005,2592
25,Massachusetts,2006,2586
25,Massachusetts,2007,2700
25,Massachusetts,2008,2652
25,Massachusetts,2009,2660
25,Massachusetts,2010,2799
25,Massachusetts,2011,2802
25,Massachusetts,2012,2897
25,Massachusetts,2013,2844
25,Massachusetts,2014,2846
25,Massachusetts,2015,2964
25,Massachusetts,2016,3421
25,Massachusetts,2017,3026
25,Massachusetts,2018,2830
25,Massachusetts,2019,3102
25,Massachusetts,2020,3061
26,Michigan,2004,1742
26,Michigan,2005,2579
26,Michigan,2006,2594
26,Michigan,2007,2643
26,Michigan,2008,2597
26,Michigan,2009,2653
26,Michigan,2010,2770
26,Michigan,2011,2739
26,Michigan,2012,2915
26,Michigan,2013,2734
26,Michigan,2014,2686
26,Michigan,2015,2910
26,Michigan,2016,3153
26,Michigan,2017,2894
26,Michigan,2018,2923
26,Michigan,2019,2938
26,Michigan,2020,3003
27,Minnesota,2004,1822
27,Minnesota,2005,2628
27,Minnesota,2006,2633
27,Minnesota,2007,2568
27,Minnesota,2008,2581
27,Minnesota,2009,2693
27,Minnesota,2010,2712
27,Minnesota,2011,2695
27,Minnesota,2012,2936
27,Minnesota,2013,2662
27,Minnesota,2014,2718
27,Minnesota,2015,3032
27,Minnesota,2016,2984
27,Minnesota,2017,2906
27,Minnesota,2018,2844
27,Minnesota,2019,2809
27,Minnesota,2020,2957
28,Mississippi,2004,2330
28,Mississippi,2005,3352
28,Mississippi,2006,3429
28,Mississippi,2007,3410
28,Mississippi,2008,3379
28,Mississippi,2009,3436
28,Mississippi,2010,3633
28,Mississippi,2011,3657
28,Mississippi,2012,3630
28,Mississippi,2013,3520
28,Mississippi,2014,3603
28,Mississippi,2015,3584
28,Mississippi,2016,3711
28,Mississippi,2017,3835
28,Mississippi,2018,3635
28,Mississippi,2019,3760
28,Mississippi,2020,3676
29,Missouri,2004,1908
29,Missouri,2005,3024
29,Missouri,2006,2999
29,Missouri,2007,2997
29,Missouri,2008,2917
29,Missouri,2009,3011
29,Missouri,2010,3145
29,Missouri,2011,3133
29,Missouri,2012,3303
29,Missouri,2013,3074
29,Missouri,2014,3154
29,Missouri,2015,3414
29,Missouri,2016,4077
29,Missouri,2017,3911
29,Missouri,2018,4105
29,Missouri,2019,3652
29,Missouri,2020,3691
30,Montana,2004,2139
30,Montana,2005,2863
30,Montana,2006,2909
30,Montana,2007,2920
30,Montana,2008,2820
30,Montana,2009,2924
30,Montana,2010,2906
30,Montana,2011,2929
30,Montana,2012,3110
30,Montana,2013,3011
30,Montana,2014,3012
30,Montana,2015,3319
30,Montana,2016,3148
30,Montana,2017,3174
30,Montana,2018,3047
30,Montana,2019,2959
30,Montana,2020,3150
31,Nebraska,2004,2128
31,Nebraska,2005,3059
31,Nebraska,2006,3046
31,Nebraska,2007,2979
31,Nebraska,2008,3060
31,Nebraska,2009,3060
31,Nebraska,2010,3134
31,Nebraska,2011,3132
31,Nebraska,2012,3340
31,Nebraska,2013,3135
31,Nebraska,2014,3198
31,Nebraska,2015,3272
31,Nebraska,2016,3890
31,Nebraska,2017,4179
31,Nebraska,2018,3362
31,Nebraska,2019,3274
31,Nebraska,2020,3426
32,Nevada,2004,2310
32,Nevada,2005,3437
32,Nevada,2006,3510
