"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2004","2,346","",
"01","Alabama","2005","3,282","",
"01","Alabama","2006","3,443","",
"01","Alabama","2007","3,436","",
"01","Alabama","2008","3,424","",
"01","Alabama","2009","3,375","",
"01","Alabama","2010","3,636","",
"01","Alabama","2011","3,652","",
"01","Alabama","2012","3,605","",
"01","Alabama","2013","3,480","",
"01","Alabama","2014","3,635","",
"01","Alabama","2015","3,644","",
"01","Alabama","2016","3,778","",
"01","Alabama","2017","3,999","",
"01","Alabama","2018","3,647","",
"01","Alabama","2019","3,724","",
"01","Alabama","2020","3,677","",
"02","Alaska","2004","1,390","",
"02","Alaska","2005","1,997","",
"02","Alaska","2006","1,851","",
"02","Alaska","2007","1,922","",
"02","Alaska","2008","1,848","",
"02","Alaska","2009","2,116","",
"02","Alaska","2010","2,100","",
"02","Alaska","2011","2,175","",
"02","Alaska","2012","2,054","",
"02","Alaska","2013","2,142","",
"02","Alaska","2014","2,229","",
"02","Alaska","2015","2,615","",
"02","Alaska","2016","2,596","",
"02","Alaska","2017","2,368","",
"02","Alaska","2018","2,439","",
"02","Alaska","2019","2,555","",
"02","Alaska","2020","2,491","",
"04","Arizona","2004","2,795","",
"04","Arizona","2005","3,850","",
"04","Arizona","2006","3,859","",
"04","Arizona","2007","3,877","",
"04","Arizona","2008","3,943","",
"04","Arizona","2009","3,963","",
"04","Arizona","2010","3,975","",
"04","Arizona","2011","4,072","",
"04","Arizona","2012","4,072","",
"04","Arizona","2013","4,049","",
"04","Arizona","2014","4,058","",
"04","Arizona","2015","4,014","",
"04","Arizona","2016","4,253","",
"04","Arizona","2017","4,252","",
"04","Arizona","2018","4,132","",
"04","Arizona","2019","4,138","",
"04","Arizona","2020","4,268","",
"05","Arkansas","2004","2,125","",
"05","Arkansas","2005","3,239","",
"05","Arkansas","2006","3,242","",
"05","Arkansas","2007","3,190","",
"05","Arkansas","2008","3,180","",
"05","Arkansas","2009","3,200","",
"05","Arkansas","2010","3,419","",
"05","Arkansas","2011","3,429","",
"05","Arkansas","2012","3,540","",
"05","Arkansas","2013","3,381","",
"05","Arkansas","2014","3,384","",
"05","Arkansas","2015","3,558","",
"05","Arkansas","2016","3,790","",
"05","Arkansas","2017","4,090","",
"05","Arkansas","2018","4,448","",
"05","Arkansas","2019","3,564","",
"05","Arkansas","2020","4,129","",
"06","California","2004","2,357","",
"06","California","2005","3,462","",
"06","California","2006","3,487","",
"06","California","2007","3,655","",
"06","California","2008","3,634","",
"06","California","2009","3,634","",
"06","California","2010","3,539","",
"06","California","2011","3,659","",
"06","California","2012","3,710","",
"06","California","2013","3,795","",
"06","California","2014","3,759","",
"06","California","2015","3,979","",
"06","California","2016","4,582","",
"06","California","2017","4,220","",
"06","California","2018","4,147","",
"06","California","2019","4,246","",
"06","California","2020","4,251","",
"08","Colorado","2004","2,640","",
"08","Colorado","2005","3,764","",
"08","Colorado","2006","3,781","",
"08","Colorado","2007","3,710","",
"08","Colorado","2008","3,783","",
"08","Colorado","2009","3,784","",
"08","Colorado","2010","3,819","",
"08","Colorado","2011","3,840","",
"08","Colorado","2012","3,921","",
"08","Colorado","2013","3,808","",
"08","Colorado","2014","3,852","",
"08","Colorado","2015","4,003","",
"08","Colorado","2016","4,494","",
"08","Colorado","2017","4,377","",
"08","Colorado","2018","4,104","",
